,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
379,1,2,1,3,2,4,0,0,0,9,3
380,1,2,0,1,1,1,6,1,2,3,7
381,1,2,1,1,1,1,6,1,1,8,1
382,0,0,3,2,5,6,7,4,6,7,5
383,1,2,0,1,1,1,6,1,2,3,7
384,1,2,1,1,1,1,6,1,2,3,7
385,0,0,3,2,3,3,5,6,3,5,6
386,1,2,1,3,2,4,2,3,1,8,10
387,1,2,1,1,1,1,6,1,2,3,7
388,1,1,2,1,1,1,6,1,2,3,7
389,1,2,1,1,1,1,6,1,2,3,7
390,0,2,1,3,2,4,0,0,0,1,0
391,0,0,3,2,5,6,7,4,6,7,5
392,1,2,1,3,2,4,2,3,1,8,10
393,1,1,2,4,1,1,0,0,9,10,11
394,0,0,0,0,5,6,1,7,6,0,9
395,0,2,0,0,0,0,0,0,0,0,0
