,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12
376,0,0,1,0,5,5,2,2,2,2,0
377,0,0,1,0,1,0,5,5,5,5,2
378,0,0,1,0,5,5,2,2,2,2,0
379,0,0,1,0,5,5,2,2,2,2,0
380,0,0,3,1,0,3,3,1,0,1,1
381,0,0,3,1,0,3,3,1,0,10,10
382,0,2,2,2,2,2,0,3,3,3,3
383,0,0,3,1,0,3,3,1,0,1,1
384,0,0,3,1,0,3,3,1,0,1,1
385,0,2,2,2,2,2,0,3,3,3,3
386,0,0,1,0,5,5,2,2,2,2,0
387,0,0,3,1,0,3,3,1,0,1,1
388,1,1,0,3,3,1,1,0,1,0,11
389,0,0,3,1,0,3,3,1,0,1,1
390,0,0,1,0,5,5,2,2,2,2,0
391,0,2,2,2,2,2,0,3,3,3,3
392,0,0,1,0,5,5,2,2,2,2,0
393,1,1,0,3,3,1,1,0,4,4,4
394,0,2,2,2,2,2,0,8,8,8,8
395,0,0,1,0,1,0,5,5,5,5,2
